,Predicted Data,Original Label
11,"[[0.12480982393026352, 0.2014201283454895, 0.2403932511806488], [0.1222766563296318, 0.1963716745376587, 0.23719874024391174]]","[[0.9154929518699646, 0.75, 0.3303571343421936], [0.5704225301742554, 0.75, 0.4955357015132904]]"
12,"[[0.1510365605354309, 0.25298553705215454, 0.27286192774772644], [0.14443551003932953, 0.23950199782848358, 0.26426154375076294]]","[[0.34859153628349304, 1.0, 0.375], [0.2042253464460373, 0.75, 0.3571428656578064]]"
13,"[[0.18425358831882477, 0.32052937150001526, 0.3138207793235779], [0.17453014850616455, 0.3010329306125641, 0.3015703856945038]]","[[0.8133803009986877, 0.75, 0.1875], [0.13380281627178192, 0.75, 0.4241071343421936]]"
14,"[[0.1883525550365448, 0.3335108160972595, 0.3178655207157135], [0.2038552612066269, 0.36540284752845764, 0.337639719247818]]","[[0.47535210847854614, 0.0, 0.375], [0.13732394576072693, 0.75, 0.4196428656578064]]"
15,"[[0.24947278201580048, 0.47124147415161133, 0.39430612325668335], [0.2309841364622116, 0.43257227540016174, 0.37080514430999756]]","[[0.6901408433914185, 0.75, 0.4241071343421936], [0.26408451795578003, 0.75, 0.3973214328289032]]"
16,"[[0.25571396946907043, 0.5054863095283508, 0.4006000757217407], [0.252238392829895, 0.49762681126594543, 0.395937979221344]]","[[0.26760563254356384, 0.75, 0.5535714030265808], [0.35211268067359924, 0.75, 0.2857142984867096]]"
17,"[[0.26719799637794495, 0.5584249496459961, 0.4123082756996155], [0.28504741191864014, 0.5992180705070496, 0.4346662759780884]]","[[0.6971830725669861, 0.5, 0.1830357164144516], [0.3661971688270569, 1.0, 0.4285714328289032]]"
18,"[[0.2528107762336731, 0.5593423843383789, 0.39339205622673035], [0.23760734498500824, 0.5224758982658386, 0.3745182156562805]]","[[0.04577464610338211, 0.5, 0.4375], [0.2887323796749115, 0.0, 0.3348214328289032]]"
19,"[[0.30382123589515686, 0.7194942831993103, 0.4533184766769409], [0.29817628860473633, 0.7053576111793518, 0.4465189576148987]]","[[0.6866196990013123, 1.0, 0.2991071343421936], [0.8239436745643616, 0.75, 0.3258928656578064]]"
20,"[[0.29591041803359985, 0.7343087196350098, 0.44097647070884705], [0.29359087347984314, 0.7282834649085999, 0.43805941939353943]]","[[0.6795774698257446, 0.75, 0.4598214328289032], [0.4577464759349823, 1.0, 0.5]]"
21,"[[0.283121258020401, 0.7304677963256836, 0.4239877462387085], [0.30299896001815796, 0.7850427627563477, 0.4482412040233612]]","[[0.7570422291755676, 0.75, 0.1875], [0.9154929518699646, 0.75, 0.5178571343421936]]"
22,"[[0.252958744764328, 0.6684289574623108, 0.38821864128112793], [0.2677086293697357, 0.7100130319595337, 0.40592655539512634]]","[[0.06338027864694595, 0.75, 0.3526785671710968], [0.11267605423927307, 1.0, 0.3214285671710968]]"
23,"[[0.25636544823646545, 0.6906455755233765, 0.3917015790939331], [0.28797876834869385, 0.7807860374450684, 0.42948463559150696]]","[[0.18661971390247345, 0.75, 0.40625], [0.5281690359115601, 1.0, 0.40625]]"
24,"[[0.25591540336608887, 0.699242115020752, 0.3917577564716339], [0.26616722345352173, 0.7287943363189697, 0.4038454592227936]]","[[0.4647887349128723, 0.5, 0.4241071343421936], [0.48239436745643616, 0.75, 0.3303571343421936]]"
25,"[[0.25326383113861084, 0.6973993182182312, 0.3883983790874481], [0.2789437472820282, 0.7717165350914001, 0.41873711347579956]]","[[0.07042253762483597, 0.75, 0.5133928656578064], [0.4154929518699646, 1.0, 0.3705357015132904]]"
26,"[[0.2768598198890686, 0.7700374126434326, 0.4161347448825836], [0.25461089611053467, 0.7052896618843079, 0.38994264602661133]]","[[0.3838028311729431, 1.0, 0.375], [0.08802817016839981, 0.75, 0.4107142984867096]]"
27,"[[0.2818286418914795, 0.7901085019111633, 0.422891765832901], [0.2662411630153656, 0.7446656227111816, 0.4044466018676758]]","[[0.46830984950065613, 1.0, 0.3839285671710968], [0.18309858441352844, 1.0, 0.3928571343421936]]"
28,"[[0.2802359163761139, 0.7845011949539185, 0.42011213302612305], [0.2869627773761749, 0.8039305806159973, 0.42814746499061584]]","[[0.43661972880363464, 1.0, 0.4241071343421936], [0.7605633735656738, 0.75, 0.4910714328289032]]"
29,"[[0.2687738835811615, 0.7518343925476074, 0.4071867763996124], [0.27648642659187317, 0.774101972579956, 0.4162978231906891]]","[[0.14436618983745575, 1.0, 0.3928571343421936], [0.5704225301742554, 0.75, 0.4955357015132904]]"
30,"[[0.25203031301498413, 0.706071138381958, 0.3890751600265503], [0.24812476336956024, 0.6946308016777039, 0.38443440198898315]]","[[0.10915493220090866, 0.75, 0.3883928656578064], [0.07042253762483597, 0.75, 0.4508928656578064]]"
31,"[[0.25545334815979004, 0.7165935039520264, 0.3934350609779358], [0.2890406548976898, 0.8148322701454163, 0.43286094069480896]]","[[0.15140844881534576, 0.75, 0.4241071343421936], [0.48591548204421997, 1.0, 0.4821428656578064]]"
32,"[[0.29029443860054016, 0.8188701272010803, 0.43344050645828247], [0.27242711186408997, 0.7672783732414246, 0.4126332998275757]]","[[0.8873239159584045, 0.75, 0.4151785671710968], [0.27816900610923767, 1.0, 0.3973214328289032]]"
33,"[[0.25362810492515564, 0.7120599150657654, 0.39015066623687744], [0.2827684283256531, 0.7974904179573059, 0.4243707060813904]]","[[0.3732394278049469, 0.75, 0.2589285671710968], [0.7147887349128723, 0.75, 0.4285714328289032]]"
34,"[[0.29375264048576355, 0.8283379673957825, 0.4372933804988861], [0.2382477968931198, 0.6655780673027039, 0.3725472092628479]]","[[0.5316901206970215, 1.0, 0.5178571343421936], [0.2887323796749115, 0.5, 0.3080357015132904]]"
35,"[[0.29946649074554443, 0.8416749238967896, 0.44200399518013], [0.2563219368457794, 0.7163711786270142, 0.39224231243133545]]","[[0.5316901206970215, 1.0, 0.6607142686843872], [0.2042253464460373, 0.75, 0.4107142984867096]]"
36,"[[0.21011629700660706, 0.5814151167869568, 0.3395402431488037], [0.27878227829933167, 0.7834240794181824, 0.41891583800315857]]","[[0.27112674713134766, 0.0, 0.4375], [0.34859153628349304, 1.0, 0.375]]"
37,"[[0.2722584009170532, 0.7656835913658142, 0.4115697145462036], [0.2679503560066223, 0.7528499364852905, 0.406669944524765]]","[[0.27112674713134766, 1.0, 0.3392857015132904], [0.48591548204421997, 0.75, 0.4241071343421936]]"
38,"[[0.24832969903945923, 0.6989071369171143, 0.3849577009677887], [0.2744652330875397, 0.7752582430839539, 0.4150535762310028]]","[[0.03873239457607269, 0.75, 0.4419642984867096], [0.40140846371650696, 0.75, 0.6160714030265808]]"
39,"[[0.24589088559150696, 0.6884984374046326, 0.3814556896686554], [0.27572253346443176, 0.775093138217926, 0.41551366448402405]]","[[0.056338027119636536, 0.75, 0.3928571343421936], [0.5070422291755676, 0.75, 0.5089285969734192]]"
40,"[[0.20110799372196198, 0.55766761302948, 0.33027997612953186], [0.26761892437934875, 0.7541009783744812, 0.4063737690448761]]","[[0.11619718372821808, 0.0, 0.4732142984867096], [0.3767605721950531, 0.75, 0.5]]"
41,"[[0.2543683350086212, 0.715894341468811, 0.3919678032398224], [0.2656477391719818, 0.7493445873260498, 0.40483587980270386]]","[[0.26760563254356384, 0.75, 0.2678571343421936], [0.11267605423927307, 1.0, 0.3214285671710968]]"
42,"[[0.2756620943546295, 0.777677059173584, 0.4156254529953003], [0.26815319061279297, 0.7553690075874329, 0.40680062770843506]]","[[0.18309858441352844, 1.0, 0.4107142984867096], [0.26760563254356384, 1.0, 0.2366071492433548]]"
43,"[[0.23754851520061493, 0.6628130078315735, 0.37122589349746704], [0.284257173538208, 0.7986078858375549, 0.4232754111289978]]","[[0.2887323796749115, 0.5, 0.3080357015132904], [0.44014084339141846, 1.0, 0.3348214328289032]]"
44,"[[0.22774454951286316, 0.6394992470741272, 0.36136195063591003], [0.23473481833934784, 0.6605019569396973, 0.36951154470443726]]","[[0.07394365966320038, 0.5, 0.3705357015132904], [0.07394365966320038, 0.5, 0.59375]]"
45,"[[0.30478551983833313, 0.8611438870429993, 0.44682615995407104], [0.27110356092453003, 0.7648420333862305, 0.4098825454711914]]","[[0.6549295783042908, 1.0, 0.4642857015132904], [0.13028168678283691, 1.0, 0.3883928656578064]]"
46,"[[0.27547046542167664, 0.7763360738754272, 0.41398510336875916], [0.26999375224113464, 0.7603572010993958, 0.40783101320266724]]","[[0.1267605572938919, 1.0, 0.3973214328289032], [0.11267605423927307, 1.0, 0.3214285671710968]]"
47,"[[0.2703876197338104, 0.7596878409385681, 0.40826085209846497], [0.2650044560432434, 0.7442209124565125, 0.4023670554161072]]","[[0.34859153628349304, 0.75, 0.5357142686843872], [0.27112674713134766, 0.75, 0.5044642686843872]]"
48,"[[0.25587332248687744, 0.7217438220977783, 0.39325883984565735], [0.2628619074821472, 0.7422420978546143, 0.40107226371765137]]","[[0.23239436745643616, 0.75, 0.3571428656578064], [0.27112674713134766, 0.75, 0.5044642686843872]]"
49,"[[0.250088632106781, 0.7066357135772705, 0.38695576786994934], [0.19696785509586334, 0.548308789730072, 0.32799068093299866]]","[[0.06690140813589096, 0.75, 0.4241071343421936], [0.2887323796749115, 0.0, 0.3348214328289032]]"
50,"[[0.28515973687171936, 0.8079875707626343, 0.42536070942878723], [0.2627194821834564, 0.742228627204895, 0.4008431136608124]]","[[0.27816900610923767, 1.0, 0.5133928656578064], [0.39436620473861694, 0.75, 0.3303571343421936]]"
51,"[[0.2849927544593811, 0.8083528280258179, 0.42500942945480347], [0.2884710729122162, 0.8182569742202759, 0.4286941885948181]]","[[0.35211268067359924, 1.0, 0.3392857015132904], [0.4154929518699646, 1.0, 0.3705357015132904]]"
52,"[[0.24985110759735107, 0.7056736350059509, 0.38708484172821045], [0.2898603677749634, 0.8200603127479553, 0.4295589327812195]]","[[0.1654929518699646, 0.75, 0.3258928656578064], [0.8239436745643616, 0.75, 0.3258928656578064]]"
53,"[[0.25158053636550903, 0.7084662914276123, 0.38850879669189453], [0.18244421482086182, 0.5036793947219849, 0.313138872385025]]","[[0.05985915660858154, 0.75, 0.4598214328289032], [0.05281690135598183, 0.0, 0.4330357015132904]]"
54,"[[0.29182231426239014, 0.8263611793518066, 0.4315728545188904], [0.2817750573158264, 0.7977688312530518, 0.4210472106933594]]","[[0.3309859037399292, 1.0, 0.4955357015132904], [0.18309858441352844, 1.0, 0.4107142984867096]]"
55,"[[0.2481023520231247, 0.7035802602767944, 0.3864566385746002], [0.27139031887054443, 0.7719694375991821, 0.4112643599510193]]","[[0.11971831321716309, 0.75, 0.4151785671710968], [0.07042253762483597, 1.0, 0.4598214328289032]]"
56,"[[0.2727203667163849, 0.7719709873199463, 0.4113578200340271], [0.2299354076385498, 0.6470038890838623, 0.36635908484458923]]","[[0.05281690135598183, 1.0, 0.3973214328289032], [0.07394365966320038, 0.5, 0.59375]]"
57,"[[0.32845059037208557, 0.930046796798706, 0.4685787558555603], [0.26381778717041016, 0.7455298900604248, 0.40188610553741455]]","[[0.8908450603485107, 1.0, 0.4330357015132904], [0.4260563254356384, 0.75, 0.34375]]"
58,"[[0.2499566376209259, 0.7077184319496155, 0.38768625259399414], [0.18362894654273987, 0.5099642276763916, 0.31690505146980286]]","[[0.14788731932640076, 0.75, 0.40625], [0.27112674713134766, 0.0, 0.3616071343421936]]"
59,"[[0.3017752766609192, 0.8550602793693542, 0.4414277672767639], [0.31470897793769836, 0.8922950625419617, 0.45437026023864746]]","[[0.7746478915214539, 0.75, 0.5669642686843872], [0.6760563254356384, 1.0, 0.375]]"
60,"[[0.2811787724494934, 0.7923938632011414, 0.4182291328907013], [0.2607556879520416, 0.7325004935264587, 0.397085577249527]]","[[0.1654929518699646, 1.0, 0.4017857015132904], [0.35211268067359924, 0.75, 0.2857142984867096]]"
61,"[[0.2679656147956848, 0.7548837661743164, 0.4055877923965454], [0.31544873118400574, 0.8911772966384888, 0.4538205564022064]]","[[0.4612676203250885, 0.75, 0.2767857015132904], [0.5704225301742554, 1.0, 0.5044642686843872]]"
62,"[[0.29793286323547363, 0.8458669185638428, 0.4369349479675293], [0.185560405254364, 0.5155829191207886, 0.3211711645126343]]","[[0.3767605721950531, 1.0, 0.4866071343421936], [0.27112674713134766, 0.0, 0.4776785671710968]]"
63,"[[0.267944872379303, 0.7625106573104858, 0.4072040915489197], [0.31460240483283997, 0.8967487812042236, 0.45384109020233154]]","[[0.34859153628349304, 0.75, 0.5357142686843872], [0.5704225301742554, 1.0, 0.5044642686843872]]"
64,"[[0.2515762150287628, 0.712335467338562, 0.39011523127555847], [0.264706552028656, 0.7507061958312988, 0.40362727642059326]]","[[0.14788731932640076, 0.75, 0.4464285671710968], [0.22183097898960114, 0.75, 0.6116071343421936]]"
65,"[[0.2845241129398346, 0.808521032333374, 0.42281609773635864], [0.2555175721645355, 0.7233906388282776, 0.39360910654067993]]","[[0.14788731932640076, 1.0, 0.5], [0.24295774102210999, 0.75, 0.3794642984867096]]"
66,"[[0.25414735078811646, 0.7205854654312134, 0.3925948739051819], [0.25204819440841675, 0.7146084904670715, 0.3905392587184906]]","[[0.18309858441352844, 0.75, 0.3839285671710968], [0.14436618983745575, 0.75, 0.4151785671710968]]"
67,"[[0.3028155267238617, 0.8582177758216858, 0.439402312040329], [0.2593327760696411, 0.7346004843711853, 0.397217333316803]]","[[0.8873239159584045, 0.75, 0.4151785671710968], [0.2852112650871277, 0.75, 0.4196428656578064]]"
68,"[[0.16638171672821045, 0.45796871185302734, 0.3032315969467163], [0.28608739376068115, 0.813031017780304, 0.4233013987541199]]","[[0.07746478915214539, 0.0, 0.3705357015132904], [0.27464789152145386, 1.0, 0.2991071343421936]]"
69,"[[0.2435908019542694, 0.6903877258300781, 0.38299480080604553], [0.27871835231781006, 0.791420042514801, 0.41722339391708374]]","[[0.04929577559232712, 0.75, 0.3526785671710968], [0.5035211443901062, 0.75, 0.5]]"
70,"[[0.1662043333053589, 0.45652130246162415, 0.30474111437797546], [0.23211859166622162, 0.6543741226196289, 0.3717135190963745]]","[[0.07042253762483597, 0.0, 0.4285714328289032], [0.21478873491287231, 0.5, 0.5535714030265808]]"
71,"[[0.2584308981895447, 0.7310018539428711, 0.39593279361724854], [0.28608691692352295, 0.8100313544273376, 0.42224642634391785]]","[[0.27816900610923767, 0.75, 0.3839285671710968], [0.6232394576072693, 0.75, 0.4285714328289032]]"
72,"[[0.23056523501873016, 0.6493789553642273, 0.3689623177051544], [0.25281885266304016, 0.7164668440818787, 0.3909100592136383]]","[[0.36267605423927307, 0.5, 0.2946428656578064], [0.14788731932640076, 0.75, 0.40625]]"
73,"[[0.2886001467704773, 0.820969820022583, 0.4256691336631775], [0.2934876084327698, 0.8330386281013489, 0.43010467290878296]]","[[0.23591549694538116, 1.0, 0.3482142984867096], [0.6795774698257446, 0.75, 0.4598214328289032]]"
74,"[[0.280917227268219, 0.7967144250869751, 0.41790908575057983], [0.24624456465244293, 0.6977155804634094, 0.3856005370616913]]","[[0.5704225301742554, 0.75, 0.3883928656578064], [0.05281690135598183, 0.75, 0.4107142984867096]]"
75,"[[0.260107159614563, 0.736294150352478, 0.39881184697151184], [0.27983853220939636, 0.7949814796447754, 0.4174344837665558]]","[[0.25704225897789, 0.75, 0.3616071343421936], [0.07746478915214539, 1.0, 0.3616071343421936]]"
76,"[[0.2542739808559418, 0.7222504615783691, 0.39329901337623596], [0.1621917188167572, 0.4441872239112854, 0.303493857383728]]","[[0.13380281627178192, 0.75, 0.4241071343421936], [0.14436618983745575, 0.0, 0.4151785671710968]]"
77,"[[0.24131734669208527, 0.6864957809448242, 0.381757915019989], [0.30749770998954773, 0.8786293864250183, 0.4424649477005005]]","[[0.05985915660858154, 0.75, 0.3660714328289032], [0.5035211443901062, 1.0, 0.3258928656578064]]"
78,"[[0.25526463985443115, 0.7247154712677002, 0.3937082290649414], [0.2271144688129425, 0.6411069631576538, 0.3676369786262512]]","[[0.25704225897789, 0.75, 0.3303571343421936], [0.2535211145877838, 0.5, 0.4732142984867096]]"
79,"[[0.2513257563114166, 0.7152279615402222, 0.3913281559944153], [0.15770933032035828, 0.431147038936615, 0.30139994621276855]]","[[0.15845070779323578, 0.75, 0.40625], [0.11619718372821808, 0.0, 0.4732142984867096]]"
80,"[[0.30248838663101196, 0.8652839660644531, 0.43735095858573914], [0.17230439186096191, 0.4740869998931885, 0.3159521222114563]]","[[0.34859153628349304, 1.0, 0.40625], [0.47535210847854614, 0.0, 0.375]]"
81,"[[0.2792377471923828, 0.7957190275192261, 0.4167308509349823], [0.25242653489112854, 0.7185812592506409, 0.3928501307964325]]","[[0.5070422291755676, 0.75, 0.4107142984867096], [0.13732394576072693, 0.75, 0.4196428656578064]]"
82,"[[0.2766275405883789, 0.7871742844581604, 0.41410598158836365], [0.24492314457893372, 0.6957049369812012, 0.38593876361846924]]","[[0.48591548204421997, 0.75, 0.4241071343421936], [0.05985915660858154, 0.75, 0.40625]]"
83,"[[0.2834291458129883, 0.8090347051620483, 0.42000287771224976], [0.28224220871925354, 0.8051989078521729, 0.4187872111797333]]","[[0.05281690135598183, 1.0, 0.3794642984867096], [0.0809859186410904, 1.0, 0.3303571343421936]]"
84,"[[0.24497395753860474, 0.6947058439254761, 0.38591891527175903], [0.25849559903144836, 0.7335504293441772, 0.39769303798675537]]","[[0.06690140813589096, 0.75, 0.375], [0.27816900610923767, 0.75, 0.3482142984867096]]"
85,"[[0.24632416665554047, 0.6987457871437073, 0.38705503940582275], [0.2560743987560272, 0.7265432476997375, 0.3953810930252075]]","[[0.09859155118465424, 0.75, 0.3303571343421936], [0.27464789152145386, 0.75, 0.2723214328289032]]"
86,"[[0.2068738043308258, 0.5821256637573242, 0.35248687863349915], [0.34820011258125305, 0.9976590275764465, 0.47498926520347595]]","[[0.04577464610338211, 0.5, 0.40625], [0.7464788556098938, 1.0, 0.5044642686843872]]"
87,"[[0.1540161520242691, 0.4161309003829956, 0.302566260099411], [0.2958221435546875, 0.8427466750144958, 0.42915934324264526]]","[[0.27464789152145386, 0.0, 0.3392857015132904], [0.8697183132171631, 0.75, 0.125]]"
88,"[[0.2699045240879059, 0.768376350402832, 0.4076937735080719], [0.31141024827957153, 0.8924545049667358, 0.44324177503585815]]","[[0.4647887349128723, 0.75, 0.2544642984867096], [0.3309859037399292, 1.0, 0.4955357015132904]]"
89,"[[0.2647211253643036, 0.7527185678482056, 0.4029933214187622], [0.28879639506340027, 0.8254666924476624, 0.4233664870262146]]","[[0.27112674713134766, 0.75, 0.5044642686843872], [0.09507042169570923, 1.0, 0.3883928656578064]]"
90,"[[0.27234354615211487, 0.7756139039993286, 0.40974152088165283], [0.31553828716278076, 0.9042735695838928, 0.445828378200531]]","[[0.48239436745643616, 0.75, 0.3303571343421936], [0.4190140962600708, 1.0, 0.4196428656578064]]"
91,"[[0.2431442141532898, 0.6896053552627563, 0.3854498267173767], [0.2924671471118927, 0.8368725180625916, 0.42684057354927063]]","[[0.05985915660858154, 0.75, 0.3660714328289032], [0.13028168678283691, 1.0, 0.3883928656578064]]"
92,"[[0.29741960763931274, 0.8486419320106506, 0.4300110638141632], [0.31424030661582947, 0.9011626243591309, 0.4440004229545593]]","[[0.6795774698257446, 0.75, 0.4598214328289032], [0.3309859037399292, 1.0, 0.4955357015132904]]"
93,"[[0.14113998413085938, 0.3730679750442505, 0.29473382234573364], [0.2445824146270752, 0.6942798495292664, 0.3866122364997864]]","[[0.07042253762483597, 0.0, 0.4285714328289032], [0.05985915660858154, 0.75, 0.4241071343421936]]"
94,"[[0.29630139470100403, 0.8559895753860474, 0.42946118116378784], [0.2662178575992584, 0.764119565486908, 0.40500837564468384]]","[[0.21830986440181732, 1.0, 0.3169642984867096], [0.3697183132171631, 0.75, 0.3883928656578064]]"
95,"[[0.31500789523124695, 0.908748984336853, 0.44425368309020996], [0.27347391843795776, 0.7839421033859253, 0.411236971616745]]","[[0.35211268067359924, 1.0, 0.4508928656578064], [0.39436620473861694, 0.75, 0.4821428656578064]]"
96,"[[0.13843166828155518, 0.364985853433609, 0.2949463427066803], [0.275332510471344, 0.7886378169059753, 0.4120967984199524]]","[[0.07042253762483597, 0.0, 0.4285714328289032], [0.4542253613471985, 0.75, 0.3883928656578064]]"
97,"[[0.1727643609046936, 0.46892473101615906, 0.3261101543903351], [0.24528926610946655, 0.69957435131073, 0.38786086440086365]]","[[0.6514084339141846, 0.0, 0.5982142686843872], [0.05985915660858154, 0.75, 0.4196428656578064]]"
98,"[[0.30574360489845276, 0.8813204765319824, 0.4358181953430176], [0.30060014128685, 0.8656042218208313, 0.43164706230163574]]","[[0.2112676054239273, 1.0, 0.4598214328289032], [0.21478873491287231, 1.0, 0.34375]]"
99,"[[0.35019001364707947, 1.0054142475128174, 0.466867059469223], [0.24569271504878998, 0.6987873315811157, 0.38840991258621216]]","[[0.7992957830429077, 1.0, 0.2321428507566452], [0.06690140813589096, 0.75, 0.4107142984867096]]"
100,"[[0.32982945442199707, 0.9503744840621948, 0.45244303345680237], [0.30730777978897095, 0.8863012790679932, 0.4363005459308624]]","[[0.5035211443901062, 1.0, 0.40625], [0.19718310236930847, 1.0, 0.53125]]"
101,"[[0.25319766998291016, 0.720502495765686, 0.3948173522949219], [0.2623871862888336, 0.7474121451377869, 0.40175747871398926]]","[[0.14788731932640076, 0.75, 0.4464285671710968], [0.26760563254356384, 0.75, 0.4375]]"
102,"[[0.27958279848098755, 0.8002205491065979, 0.41545379161834717], [0.2959142327308655, 0.8527677655220032, 0.4278576374053955]]","[[0.4507042169570923, 0.75, 0.5133928656578064], [0.13028168678283691, 1.0, 0.3883928656578064]]"
103,"[[0.3214060664176941, 0.9264521598815918, 0.44590190052986145], [0.24606816470623016, 0.699849545955658, 0.3900076448917389]]","[[0.3380281627178192, 1.0, 0.5446428656578064], [0.09154929220676422, 0.75, 0.4196428656578064]]"
104,"[[0.3133624494075775, 0.9048031568527222, 0.43931713700294495], [0.31832006573677063, 0.9191920161247253, 0.4427984058856964]]","[[0.3380281627178192, 1.0, 0.3482142984867096], [0.3838028311729431, 1.0, 0.375]]"
105,"[[0.3386516869068146, 0.9841548204421997, 0.4581674337387085], [0.2943097949028015, 0.8543745279312134, 0.42708587646484375]]","[[0.5, 1.0, 0.5625], [0.07042253762483597, 1.0, 0.4598214328289032]]"
106,"[[0.2504251003265381, 0.7163933515548706, 0.3939301073551178], [0.2426186203956604, 0.6926212310791016, 0.38802751898765564]]","[[0.13380281627178192, 0.75, 0.4241071343421936], [0.05281690135598183, 0.75, 0.4017857015132904]]"
107,"[[0.2980552315711975, 0.8564826250076294, 0.4280913174152374], [0.26998603343963623, 0.7727260589599609, 0.40804892778396606]]","[[0.6795774698257446, 0.75, 0.4598214328289032], [0.4225352108478546, 0.75, 0.3258928656578064]]"
108,"[[0.33308249711990356, 0.9635317921638489, 0.45241180062294006], [0.14113804697990417, 0.36229363083839417, 0.3072907328605652]]","[[0.4577464759349823, 1.0, 0.4776785671710968], [0.30281689763069153, 0.0, 0.4553571343421936]]"
109,"[[0.24298180639743805, 0.6928525567054749, 0.38912656903266907], [0.14011475443840027, 0.3596149682998657, 0.30735698342323303]]","[[0.08802817016839981, 0.75, 0.3214285671710968], [0.27816900610923767, 0.0, 0.5089285969734192]]"
110,"[[0.13838689029216766, 0.35272344946861267, 0.3068036139011383], [0.27180150151252747, 0.7776351571083069, 0.4095894992351532]]","[[0.27112674713134766, 0.0, 0.4776785671710968], [0.4647887349128723, 0.75, 0.2544642984867096]]"
111,"[[0.31075313687324524, 0.8987049460411072, 0.43625015020370483], [0.25338563323020935, 0.7232680916786194, 0.39731472730636597]]","[[0.27816900610923767, 1.0, 0.3348214328289032], [0.14436618983745575, 0.75, 0.4866071343421936]]"
112,"[[0.30639398097991943, 0.88685542345047, 0.4325679838657379], [0.2674240469932556, 0.7662914991378784, 0.40670135617256165]]","[[0.26760563254356384, 1.0, 0.2366071492433548], [0.30985915660858154, 0.75, 0.4866071343421936]]"
113,"[[0.2525983452796936, 0.719393789768219, 0.39634090662002563], [0.26546210050582886, 0.756974995136261, 0.4047754108905792]]","[[0.15845070779323578, 0.75, 0.40625], [0.35563379526138306, 0.75, 0.3080357015132904]]"
114,"[[0.3272923231124878, 0.9523610472679138, 0.44597795605659485], [0.356235146522522, 1.0357089042663574, 0.46344003081321716]]","[[0.3309859037399292, 1.0, 0.5669642686843872], [0.6760563254356384, 1.0, 0.4553571343421936]]"
115,"[[0.28571224212646484, 0.8229407072067261, 0.418565034866333], [0.20297303795814514, 0.565098762512207, 0.3619178533554077]]","[[0.5704225301742554, 0.75, 0.40625], [0.13732394576072693, 0.5, 0.4330357015132904]]"
116,"[[0.2655941843986511, 0.7630151510238647, 0.4061089754104614], [0.24628476798534393, 0.7045990824699402, 0.3933342397212982]]","[[0.2852112650871277, 0.75, 0.5], [0.06338027864694595, 0.75, 0.4732142984867096]]"
117,"[[0.12362796068191528, 0.2989400625228882, 0.3002917468547821], [0.3131766617298126, 0.911965548992157, 0.43621277809143066]]","[[0.09859155118465424, 0.0, 0.3035714328289032], [0.25, 1.0, 0.40625]]"
